SYMBOL,COMPANY,LISTING_DATE
FLAIR,Flair Writing,2023-12-01
TATATECH,Tata Technologies,2023-11-30
GANDHAR,Gandhar Oil,2023-11-30
,FedFina,2023-11-30
,IREDA,2023-11-29
ASKAUTOLTD,ASK Automotive,2023-11-15
PROTEAN,Protean eGov,2023-11-13
,ESAF Bank,2023-11-10
,Mamaearth,2023-11-07
CELLO,Cello World,2023-11-06
BLUEJET,Blue Jet Healthcare,2023-11-01
IRMENERGY,IRM Energy,2023-10-26
PLAZACABLE,Plaza Wires,2023-10-13
VALIANTLAB,Valiant Laboratories,2023-10-06
UDS,Updater Services,2023-10-04
JSWINFRA,JSW Infra,2023-10-03
MVGJL,Manoj Vaibhav Gems,2023-10-03
YATRA,Yatra Online,2023-09-28
SIGNATURE,Signature Global,2023-09-27
KALAMANDIR,Sai Silks,2023-09-27
ZAGGLE,Zaggle Prepaid,2023-09-22
SAMHI,Samhi Hotels,2023-09-22
APOLLO,EMS Limited,2023-09-21
RRKABEL,RR Kabel,2023-09-20
JLHL,Jupiter Life Line Hospitals,2023-09-18
RATNAVEER,Ratnaveer Precision Engineering,2023-09-11
RISHABH,Rishabh Instruments,2023-09-11
VPRPL,Vishnu Prakash Punglia,2023-09-05
AEROFLEX,Aeroflex Industries,2023-08-31
PYRAMID,Pyramid Technoplast,2023-08-29
TVSSCS,TVS Supply Chain,2023-08-23
CONCORDBIO,Concord Biotech,2023-08-18
SBFC,SBFC Finance,2023-08-16
YATHARTH,Yatharth Hospital,2023-08-07
NETWEB,Netweb Technologies,2023-07-27
UTKARSHBNK,Utkarsh Small Finance Bank,2023-07-21
SENCO,Senco Gold,2023-07-14
CYIENTDLM,Cyient DLM,2023-07-10
IDEAFORGE,IdeaForge,2023-07-07
HMAAGRO,HMA Agro,2023-07-04
,IKIO Lighting,2023-06-16
MANKIND,Mankind Pharma,2023-05-09
AVALON,Avalon Technologies,2023-04-18
USK,Udayshivakumar Infra,2023-04-03
GSLSU,Global Surfaces,2023-03-23
DIVGIITTS,Divgi TorqTransfer,2023-03-14
,Sah Polymers,2023-01-12
RADIANTCMS,Radiant Cash Management,2023-01-04
UNIMECH,Unimech Aerospace,2024-12-31
SENORES,Senores Pharmaceutical,2024-12-30
CARRARO,Carraro India,2024-12-30
VENTIVE,Ventive Hospitality,2024-12-30
CEWATER,Concord Enviro Systems,2024-12-27
DAMCAPITAL,DAM Capital,2024-12-27
SANATHAN,Sanathan Textiles,2024-12-27
MAMATA,Mamata Machinery,2024-12-27
TRANSRAILL,Transrail Lighting,2024-12-27
IGIL,International Gemmological Institute,2024-12-20
IKS,Inventurus Knowledge Solutions,2024-12-19
MOBIKWIK,One Mobikwik Systems,2024-12-18
VMM,Vishal Mega Mart,2024-12-18
SAILIFE,Sai Life Sciences,2024-12-18
SURAKSHA,Suraksha Diagnostic,2024-12-06
EIEL,Enviro Infra,2024-11-29
NTPCGREEN,NTPC Green Energy,2024-11-27
,Zinka Logistics,2024-11-22
NIVABUPA,Niva Bupa Health Insurance,2024-11-14
SWIGGY,Swiggy,2024-11-13
ACMESOLAR,ACME Solar,2024-11-13
,Sagility India,2024-11-12
AFCONS,Afcons Infrastructure,2024-11-04
GODAVARIB,Godavari Biorefineries,2024-10-30
,Deepak Builders and Engineers,2024-10-28
WAAREEENER,Waaree Energies,2024-10-28
,Hyundai India,2024-10-22
GARUDA,Garuda Construction,2024-10-15
DIFFNKG,Diffusion Engineers,2024-10-04
KRN,KRN Heat Exchanger,2024-10-03
MANBA,Manba Finance,2024-09-30
ARKADE,Arkade Developers,2024-09-24
WCIL,Western Carriers,2024-09-24
NORTHARC,Northern Arc Capital,2024-09-24
PNGJL,PN Gadgil Jewellers,2024-09-17
KROSS,Kross,2024-09-16
BAJAJHFL,Bajaj Housing Finance,2024-09-16
TOLINS,Tolins Tyres,2024-09-16
BALAJEE,Shree Tirupati Balajee Agro,2024-09-12
GALAPREC,Gala Precision,2024-09-09
STYLEBAAZA,Baazar Style Retail,2024-09-06
,ECOS Mobility,2024-09-04
PREMIERENE,Premier Energies,2024-09-03
ORIENTTECH,Orient Technologies,2024-08-28
,Interarch Building Products,2024-08-26
SSDL,Saraswati Saree,2024-08-20
,FirstCry,2024-08-13
UNIECOM,Unicommerce eSolutions,2024-08-13
OLAELEC,OLA Electric,2024-08-09
CEIGALL,Ceigall India,2024-08-08
AKUMS,Akums Drugs,2024-08-06
SANSTAR,Sanstar,2024-07-26
EMCURE,Emcure Pharma,2024-07-10
BANSALWIRE,Bansal Wire,2024-07-10
VRAJ,Vraj Iron,2024-07-03
ABDL,Allied Blenders,2024-07-02
STANLEY,Stanley Lifestyles,2024-06-28
AFIL,Akme Fintrade,2024-06-26
DEEDEV,Dee Development,2024-06-26
,Ixigo,2024-06-18
KRONOX,Kronox Lab,2024-06-10
AWFIS,Awfis Space,2024-05-30
,Go Digit Insurance,2024-05-23
TBOTEK,TBO Tek,2024-05-15
AADHARHFC,Aadhar Housing Finance,2024-05-15
INDGN,Indegene,2024-05-13
JNKINDIA,JNK India,2024-04-30
BHARTIHEXA,Bharti Hexacom,2024-04-12
SRM,SRM Contractors,2024-04-03
KRYSTAL,Krystal Integrated,2024-03-21
PVSL,Popular Vehicles,2024-03-19
GOPAL,Gopal Snacks,2024-03-14
JGCHEM,JG Chemicals,2024-03-13
RKSWAMY,R K Swamy,2024-03-12
MUKKA,Mukka Proteins,2024-03-07
PLATIND,Platinum Industries,2024-03-05
EXICOM,Exicom Tele-Systems,2024-03-05
GPTHEALTH,GPT Healthcare,2024-02-29
JUNIPER,Juniper Hotels,2024-02-28
VSTL,Vibhor Steel,2024-02-20
ENTERO,Entero Healthcare,2024-02-16
RPTECH,Rashi Peripherals,2024-02-14
CAPITALSFB,Capital Small Finance Bank,2024-02-14
JSFB,Jana Small Finance Bank,2024-02-14
PARKHOTELS,Apeejay Surrendra Park Hotels,2024-02-12
BLSE,BLS E-Services,2024-02-06
NOVAAGRI,Nova Agri,2024-01-31
EPACK,EPACK Durable,2024-01-30
MEDIASSIST,Medi Assist Healthcare,2024-01-23
JYOTICNC,Jyoti CNC,2024-01-16
GKSL,Gujarat Kidney Super Speciality,2025-12-30
KSHINTL,KSH International,2025-12-23
,ICICI Prudential AMC,2025-12-19
PARKHOSPS,Park Medi World,2025-12-17
,NephroPlus,2025-12-17
CORONA,Corona Remedies,2025-12-15
WAKEFIT,Wakefit Innovations,2025-12-15
VIDYAWIRES,Vidya Wires,2025-12-10
MEESHO,Meesho,2025-12-10
AEQUS,Aequs,2025-12-10
SUDEEPPHRM,Sudeep Pharma,2025-11-28
EXCELSOFT,Excelsoft Technologies,2025-11-26
CAPILLARY,Capillary Technologies,2025-11-21
,Fujiyama Solar,2025-11-20
TENNIND,Tenneco Clean Air,2025-11-19
PWL,Physicswallah,2025-11-18
EMMVEE,Emmvee Photovoltaic,2025-11-18
PINELABS,Pine Labs,2025-11-14
,Groww,2025-11-12
LENSKART,Lenskart Solutions,2025-11-07
STUDDS,Studds Accessories,2025-11-07
ORKLAINDIA,Orkla India,2025-11-06
MIDWESTLTD,Midwest,2025-10-24
CANHLIFE,Canara HSBC Life,2025-10-17
RUBICON,Rubicon Research,2025-10-16
CRAMC,Canara Robeco,2025-10-16
LGEINDIA,LG Electronics,2025-10-14
TATACAP,Tata Capital,2025-10-13
WEWORK,WeWork India,2025-10-10
ADVANCE,Advance Agrolife,2025-10-08
OMFREIGHT,Om Freight Forwarders,2025-10-08
GLOTTIS,Glottis,2025-10-07
FABTECH,Fabtech Technologies,2025-10-07
PACEDIGITK,Pace Digitek,2025-10-06
TRUALT,TruAlt Bioenergy,2025-10-03
JKIPL,Jinkushal Industries,2025-10-03
JAINREC,Jain Resource Recycling,2025-10-01
EPACKPEB,EPACK Prefab,2025-10-01
BMWVENTLTD,BMW Ventures,2025-10-01
STYL,Seshaasai Technologies,2025-09-30
ARSSBL,Anand Rathi Share,2025-09-30
SOLARWORLD,Solarworld Energy,2025-09-30
,Jaro Education,2025-09-30
ATLANTAELE,Atlanta Electricals,2025-09-29
GANESHCP,Ganesh Consumer,2025-09-29
SAATVIKGL,Saatvik Green Energy,2025-09-26
GKENERGY,GK Energy,2025-09-26
IVALUE,iValue Infosolutions,2025-09-25
VMSTMT,VMS TMT,2025-09-24
EUROPRATIK,Euro Pratik Sales,2025-09-23
URBANCO,Urban Company,2025-09-17
SHRINGARMS,Shringar House of Mangalsutra,2025-09-17
DEVX,Dev Accelerator,2025-09-17
AMANTA,Amanta Healthcare,2025-09-09
VIKRAN,Vikran Engineering,2025-09-03
AHCL,Anlon Healthcare,2025-09-03
MEIL,Mangal Electrical,2025-08-28
VIKRAMSOLR,Vikram Solar,2025-08-26
GEMAROMA,Gem Aromatics,2025-08-26
SHREEJISPG,Shreeji Shipping,2025-08-26
PATELRMART,Patel Retail,2025-08-26
REGAAL,Regaal Resources,2025-08-20
BLUESTONE,BlueStone Jewellery,2025-08-19
JSWCEMENT,JSW Cement,2025-08-14
ALLTIME,All Time Plastics,2025-08-14
HILINFRA,Highway Infrastructure,2025-08-12
,NSDL,2025-08-06
LOTUSDEV,Sri Lotus Developers,2025-08-06
MBEL,M&B Engineering,2025-08-06
CPPLUS,Aditya Infotech,2025-08-05
LAXMIINDIA,Laxmi India Finance,2025-08-05
SHANTIGOLD,Shanti Gold,2025-08-01
BRIGHOTEL,Brigade Hotel Ventures,2025-07-31
INDIQUBE,IndiQube Spaces,2025-07-30
EBGNG,GNG Electronics,2025-07-30
ANTHEM,Anthem Biosciences,2025-07-21
SMARTWORKS,Smartworks Coworking,2025-07-17
TRAVELFOOD,Travel Food Services,2025-07-14
CRIZAC,Crizac,2025-07-09
IGCL,Indogulf Cropsciences,2025-07-03
HDBFS,HDB Financial Services,2025-07-02
SAMBHV,Sambhv Steel Tubes,2025-07-02
KALPATARU,Kalpataru,2025-07-01
ELLEN,Ellenbarrie Industrial,2025-07-01
GLOBECIVIL,Globe Civil Projects,2025-07-01
ARIS,ArisInfra Solutions,2025-06-25
OSWALPUMPS,Oswal Pumps,2025-06-20
SCODATUBES,Scoda Tubes,2025-06-04
PROSTARM,Prostarm Info Systems,2025-06-03
,Schloss Bangalore,2025-06-02
AEGISVOPAK,Aegis Vopak Terminals,2025-06-02
BELRISE,Belrise Industries,2025-05-28
BORANA,Borana Weaves,2025-05-27
ATHERENERG,Ather Energy,2025-05-06
QPOWER,Quality Power Electrical,2025-02-24
HEXT,Hexaware Technologies,2025-02-19
AJAXENGG,Ajax Engineering,2025-02-17
AGARWALEYE,Dr. Agarwal’s Health,2025-02-04
DENTA,Denta Water and Infra,2025-01-29
STALLION,Stallion India,2025-01-23
LAXMIDENTL,Laxmi Dental,2025-01-20
QUADFUTURE,Quadrant Future Tek,2025-01-14
,Standard Glass Lining,2025-01-13
INDOFARM,Indo Farm Equipment,2025-01-07
BLEL,Behari Lal Engineering,2026-08-19
SHIPROCKET,Shiprocket,2026-08-19
DHOOTTRANS,Dhoot Transmission,2026-08-17
MOLBIO,Molbio Diagnostics,2026-08-17
TECHNOCRAF,Technocraft Ventures,2026-08-14
SBIFUNDS,SBI Funds Management,2026-07-21
ALPINETEX,Alpine Texworld,2026-07-21
CSM,CSM Technologies,2026-07-02
,Rambhajo Jewellery,2026-07-01
CORDELIA,Waterways Leisure Tourism,2026-07-01
CMRGREEN,CMR Green,2026-06-10
,Aeroplane Basmati,2026-04-02
CMPDI,Central Mine Planning,2026-03-30
INNOVISION,Innovision,2026-03-23
CLEANMAX,Clean Max Enviro Energy,2026-03-02
BHARATCOAL,Bharat Coking Coal,2026-01-19
