SYMBOL,COMPANY,LISTING_DATE,STATUS
RUSTOMJEE,Keystone Realtors,2022-11-24,SYMBOL_MATCH
INOXGREEN,Inox Green Energy,2022-11-23,SYMBOL_MATCH
KAYNES,Kaynes Technology,2022-11-22,SYMBOL_MATCH
FIVESTAR,Five-Star Business Finance,2022-11-21,SYMBOL_MATCH
ACI,Archean Chemical,2022-11-21,SYMBOL_MATCH
MEDANTA,Global Health (Medanta),2022-11-16,SYMBOL_MATCH
BIKAJI,Bikaji Foods,2022-11-16,SYMBOL_MATCH
,Fusion Microfinance,2022-11-15,UNMATCHED
DCXINDIA,DCX Systems,2022-11-11,SYMBOL_MATCH
TRACXN,Tracxn,2022-10-20,SYMBOL_MATCH
EMIL,Electronics Mart,2022-10-17,SYMBOL_MATCH
HARSHA,Harsha Engineers,2022-09-26,SYMBOL_MATCH
TMB,Tamilnad Mercantile Bank,2022-09-15,SYMBOL_MATCH
DREAMFOLKS,DreamFolks,2022-09-06,SYMBOL_MATCH
SYRMA,Syrma SGS,2022-08-26,SYMBOL_MATCH
INNOVACAP,Innova Captab,2023-12-29,SYMBOL_MATCH
AZAD,Azad Engineering,2023-12-28,SYMBOL_MATCH
HAPPYFORGE,Happy Forgings,2023-12-27,SYMBOL_MATCH
RBZJEWEL,RBZ Jewellers,2023-12-27,SYMBOL_MATCH
MUFTI,Credo Brands,2023-12-27,SYMBOL_MATCH
SURAJEST,Suraj Estate,2023-12-26,SYMBOL_MATCH
MUTHOOTMF,Muthoot Microfin,2023-12-26,SYMBOL_MATCH
MOTISONS,Motisons Jewellers,2023-12-26,SYMBOL_MATCH
INOXINDIA,INOX India,2023-12-21,SYMBOL_MATCH
DOMS,DOMS Industries,2023-12-20,SYMBOL_MATCH
INDIASHLTR,India Shelter Finance,2023-12-20,SYMBOL_MATCH
FLAIR,Flair Writing,2023-12-01,SYMBOL_MATCH
TATATECH,Tata Technologies,2023-11-30,SYMBOL_MATCH
GANDHAR,Gandhar Oil,2023-11-30,SYMBOL_MATCH
,FedFina,2023-11-30,UNMATCHED
,IREDA,2023-11-29,UNMATCHED
ASKAUTOLTD,ASK Automotive,2023-11-15,SYMBOL_MATCH
PROTEAN,Protean eGov,2023-11-13,UNMATCHED
,ESAF Bank,2023-11-10,UNMATCHED
,Mamaearth,2023-11-07,UNMATCHED
CELLO,Cello World,2023-11-06,SYMBOL_MATCH
BLUEJET,Blue Jet Healthcare,2023-11-01,SYMBOL_MATCH
IRMENERGY,IRM Energy,2023-10-26,SYMBOL_MATCH
PLAZACABLE,Plaza Wires,2023-10-13,SYMBOL_MATCH
VALIANTLAB,Valiant Laboratories,2023-10-06,SYMBOL_MATCH
UDS,Updater Services,2023-10-04,SYMBOL_MATCH
JSWINFRA,JSW Infra,2023-10-03,SYMBOL_MATCH
MVGJL,Manoj Vaibhav Gems,2023-10-03,SYMBOL_MATCH
YATRA,Yatra Online,2023-09-28,SYMBOL_MATCH
SIGNATURE,Signature Global,2023-09-27,SYMBOL_MATCH
KALAMANDIR,Sai Silks,2023-09-27,SYMBOL_MATCH
ZAGGLE,Zaggle Prepaid,2023-09-22,SYMBOL_MATCH
SAMHI,Samhi Hotels,2023-09-22,SYMBOL_MATCH
APOLLO,EMS Limited,2023-09-21,SYMBOL_MATCH
RRKABEL,RR Kabel,2023-09-20,SYMBOL_MATCH
JLHL,Jupiter Life Line Hospitals,2023-09-18,SYMBOL_MATCH
RATNAVEER,Ratnaveer Precision Engineering,2023-09-11,SYMBOL_MATCH
RISHABH,Rishabh Instruments,2023-09-11,SYMBOL_MATCH
VPRPL,Vishnu Prakash Punglia,2023-09-05,SYMBOL_MATCH
AEROFLEX,Aeroflex Industries,2023-08-31,SYMBOL_MATCH
PYRAMID,Pyramid Technoplast,2023-08-29,SYMBOL_MATCH
TVSSCS,TVS Supply Chain,2023-08-23,SYMBOL_MATCH
CONCORDBIO,Concord Biotech,2023-08-18,SYMBOL_MATCH
SBFC,SBFC Finance,2023-08-16,SYMBOL_MATCH
YATHARTH,Yatharth Hospital,2023-08-07,SYMBOL_MATCH
NETWEB,Netweb Technologies,2023-07-27,SYMBOL_MATCH
UTKARSHBNK,Utkarsh Small Finance Bank,2023-07-21,SYMBOL_MATCH
SENCO,Senco Gold,2023-07-14,SYMBOL_MATCH
CYIENTDLM,Cyient DLM,2023-07-10,SYMBOL_MATCH
IDEAFORGE,IdeaForge,2023-07-07,SYMBOL_MATCH
HMAAGRO,HMA Agro,2023-07-04,SYMBOL_MATCH
,IKIO Lighting,2023-06-16,UNMATCHED
MANKIND,Mankind Pharma,2023-05-09,SYMBOL_MATCH
AVALON,Avalon Technologies,2023-04-18,SYMBOL_MATCH
USK,Udayshivakumar Infra,2023-04-03,SYMBOL_MATCH
GSLSU,Global Surfaces,2023-03-23,SYMBOL_MATCH
DIVGIITTS,Divgi TorqTransfer,2023-03-14,SYMBOL_MATCH
,Sah Polymers,2023-01-12,UNMATCHED
RADIANTCMS,Radiant Cash Management,2023-01-04,SYMBOL_MATCH
UNIMECH,Unimech Aerospace,2024-12-31,SYMBOL_MATCH
SENORES,Senores Pharmaceutical,2024-12-30,SYMBOL_MATCH
CARRARO,Carraro India,2024-12-30,SYMBOL_MATCH
VENTIVE,Ventive Hospitality,2024-12-30,SYMBOL_MATCH
CEWATER,Concord Enviro Systems,2024-12-27,SYMBOL_MATCH
DAMCAPITAL,DAM Capital,2024-12-27,SYMBOL_MATCH
SANATHAN,Sanathan Textiles,2024-12-27,SYMBOL_MATCH
MAMATA,Mamata Machinery,2024-12-27,SYMBOL_MATCH
TRANSRAILL,Transrail Lighting,2024-12-27,SYMBOL_MATCH
IGIL,International Gemmological Institute,2024-12-20,UNMATCHED
IKS,Inventurus Knowledge Solutions,2024-12-19,SYMBOL_MATCH
MOBIKWIK,One Mobikwik Systems,2024-12-18,SYMBOL_MATCH
VMM,Vishal Mega Mart,2024-12-18,SYMBOL_MATCH
SAILIFE,Sai Life Sciences,2024-12-18,SYMBOL_MATCH
SURAKSHA,Suraksha Diagnostic,2024-12-06,SYMBOL_MATCH
EIEL,Enviro Infra,2024-11-29,SYMBOL_MATCH
NTPCGREEN,NTPC Green Energy,2024-11-27,SYMBOL_MATCH
,Zinka Logistics,2024-11-22,UNMATCHED
NIVABUPA,Niva Bupa Health Insurance,2024-11-14,SYMBOL_MATCH
SWIGGY,Swiggy,2024-11-13,SYMBOL_MATCH
ACMESOLAR,ACME Solar,2024-11-13,SYMBOL_MATCH
,Sagility India,2024-11-12,UNMATCHED
AFCONS,Afcons Infrastructure,2024-11-04,SYMBOL_MATCH
GODAVARIB,Godavari Biorefineries,2024-10-30,SYMBOL_MATCH
,Deepak Builders and Engineers,2024-10-28,UNMATCHED
WAAREEENER,Waaree Energies,2024-10-28,SYMBOL_MATCH
,Hyundai India,2024-10-22,UNMATCHED
GARUDA,Garuda Construction,2024-10-15,SYMBOL_MATCH
DIFFNKG,Diffusion Engineers,2024-10-04,SYMBOL_MATCH
KRN,KRN Heat Exchanger,2024-10-03,SYMBOL_MATCH
MANBA,Manba Finance,2024-09-30,SYMBOL_MATCH
ARKADE,Arkade Developers,2024-09-24,SYMBOL_MATCH
WCIL,Western Carriers,2024-09-24,SYMBOL_MATCH
NORTHARC,Northern Arc Capital,2024-09-24,SYMBOL_MATCH
PNGJL,PN Gadgil Jewellers,2024-09-17,SYMBOL_MATCH
KROSS,Kross,2024-09-16,SYMBOL_MATCH
BAJAJHFL,Bajaj Housing Finance,2024-09-16,SYMBOL_MATCH
TOLINS,Tolins Tyres,2024-09-16,SYMBOL_MATCH
BALAJEE,Shree Tirupati Balajee Agro,2024-09-12,SYMBOL_MATCH
GALAPREC,Gala Precision,2024-09-09,SYMBOL_MATCH
STYLEBAAZA,Baazar Style Retail,2024-09-06,SYMBOL_MATCH
,ECOS Mobility,2024-09-04,UNMATCHED
PREMIERENE,Premier Energies,2024-09-03,SYMBOL_MATCH
ORIENTTECH,Orient Technologies,2024-08-28,SYMBOL_MATCH
,Interarch Building Products,2024-08-26,UNMATCHED
SSDL,Saraswati Saree,2024-08-20,SYMBOL_MATCH
,FirstCry,2024-08-13,UNMATCHED
UNIECOM,Unicommerce eSolutions,2024-08-13,SYMBOL_MATCH
OLAELEC,OLA Electric,2024-08-09,SYMBOL_MATCH
CEIGALL,Ceigall India,2024-08-08,SYMBOL_MATCH
AKUMS,Akums Drugs,2024-08-06,SYMBOL_MATCH
SANSTAR,Sanstar,2024-07-26,SYMBOL_MATCH
EMCURE,Emcure Pharma,2024-07-10,SYMBOL_MATCH
BANSALWIRE,Bansal Wire,2024-07-10,SYMBOL_MATCH
VRAJ,Vraj Iron,2024-07-03,SYMBOL_MATCH
ABDL,Allied Blenders,2024-07-02,SYMBOL_MATCH
STANLEY,Stanley Lifestyles,2024-06-28,SYMBOL_MATCH
AFIL,Akme Fintrade,2024-06-26,SYMBOL_MATCH
DEEDEV,Dee Development,2024-06-26,SYMBOL_MATCH
,Ixigo,2024-06-18,UNMATCHED
KRONOX,Kronox Lab,2024-06-10,SYMBOL_MATCH
AWFIS,Awfis Space,2024-05-30,SYMBOL_MATCH
,Go Digit Insurance,2024-05-23,UNMATCHED
TBOTEK,TBO Tek,2024-05-15,SYMBOL_MATCH
AADHARHFC,Aadhar Housing Finance,2024-05-15,SYMBOL_MATCH
INDGN,Indegene,2024-05-13,SYMBOL_MATCH
JNKINDIA,JNK India,2024-04-30,SYMBOL_MATCH
BHARTIHEXA,Bharti Hexacom,2024-04-12,SYMBOL_MATCH
SRM,SRM Contractors,2024-04-03,SYMBOL_MATCH
KRYSTAL,Krystal Integrated,2024-03-21,SYMBOL_MATCH
PVSL,Popular Vehicles,2024-03-19,SYMBOL_MATCH
GOPAL,Gopal Snacks,2024-03-14,SYMBOL_MATCH
JGCHEM,JG Chemicals,2024-03-13,SYMBOL_MATCH
RKSWAMY,R K Swamy,2024-03-12,SYMBOL_MATCH
MUKKA,Mukka Proteins,2024-03-07,SYMBOL_MATCH
PLATIND,Platinum Industries,2024-03-05,SYMBOL_MATCH
EXICOM,Exicom Tele-Systems,2024-03-05,SYMBOL_MATCH
GPTHEALTH,GPT Healthcare,2024-02-29,SYMBOL_MATCH
JUNIPER,Juniper Hotels,2024-02-28,SYMBOL_MATCH
VSTL,Vibhor Steel,2024-02-20,SYMBOL_MATCH
ENTERO,Entero Healthcare,2024-02-16,SYMBOL_MATCH
RPTECH,Rashi Peripherals,2024-02-14,SYMBOL_MATCH
CAPITALSFB,Capital Small Finance Bank,2024-02-14,SYMBOL_MATCH
JSFB,Jana Small Finance Bank,2024-02-14,SYMBOL_MATCH
PARKHOTELS,Apeejay Surrendra Park Hotels,2024-02-12,SYMBOL_MATCH
BLSE,BLS E-Services,2024-02-06,SYMBOL_MATCH
NOVAAGRI,Nova Agri,2024-01-31,SYMBOL_MATCH
EPACK,EPACK Durable,2024-01-30,SYMBOL_MATCH
MEDIASSIST,Medi Assist Healthcare,2024-01-23,SYMBOL_MATCH
JYOTICNC,Jyoti CNC,2024-01-16,SYMBOL_MATCH
GKSL,Gujarat Kidney Super Speciality,2025-12-30,SYMBOL_MATCH
KSHINTL,KSH International,2025-12-23,SYMBOL_MATCH
,ICICI Prudential AMC,2025-12-19,UNMATCHED
PARKHOSPS,Park Medi World,2025-12-17,SYMBOL_MATCH
,NephroPlus,2025-12-17,UNMATCHED
CORONA,Corona Remedies,2025-12-15,SYMBOL_MATCH
WAKEFIT,Wakefit Innovations,2025-12-15,SYMBOL_MATCH
VIDYAWIRES,Vidya Wires,2025-12-10,SYMBOL_MATCH
MEESHO,Meesho,2025-12-10,SYMBOL_MATCH
AEQUS,Aequs,2025-12-10,SYMBOL_MATCH
SUDEEPPHRM,Sudeep Pharma,2025-11-28,SYMBOL_MATCH
EXCELSOFT,Excelsoft Technologies,2025-11-26,SYMBOL_MATCH
CAPILLARY,Capillary Technologies,2025-11-21,SYMBOL_MATCH
,Fujiyama Solar,2025-11-20,UNMATCHED
TENNIND,Tenneco Clean Air,2025-11-19,SYMBOL_MATCH
PWL,Physicswallah,2025-11-18,SYMBOL_MATCH
EMMVEE,Emmvee Photovoltaic,2025-11-18,SYMBOL_MATCH
PINELABS,Pine Labs,2025-11-14,SYMBOL_MATCH
,Groww,2025-11-12,COMPANY_DATE_MATCH
LENSKART,Lenskart Solutions,2025-11-07,SYMBOL_MATCH
STUDDS,Studds Accessories,2025-11-07,SYMBOL_MATCH
ORKLAINDIA,Orkla India,2025-11-06,SYMBOL_MATCH
MIDWESTLTD,Midwest,2025-10-24,SYMBOL_MATCH
CANHLIFE,Canara HSBC Life,2025-10-17,SYMBOL_MATCH
RUBICON,Rubicon Research,2025-10-16,SYMBOL_MATCH
CRAMC,Canara Robeco,2025-10-16,SYMBOL_MATCH
LGEINDIA,LG Electronics,2025-10-14,SYMBOL_MATCH
TATACAP,Tata Capital,2025-10-13,SYMBOL_MATCH
WEWORK,WeWork India,2025-10-10,SYMBOL_MATCH
ADVANCE,Advance Agrolife,2025-10-08,SYMBOL_MATCH
OMFREIGHT,Om Freight Forwarders,2025-10-08,SYMBOL_MATCH
GLOTTIS,Glottis,2025-10-07,SYMBOL_MATCH
FABTECH,Fabtech Technologies,2025-10-07,SYMBOL_MATCH
PACEDIGITK,Pace Digitek,2025-10-06,SYMBOL_MATCH
TRUALT,TruAlt Bioenergy,2025-10-03,SYMBOL_MATCH
JKIPL,Jinkushal Industries,2025-10-03,SYMBOL_MATCH
JAINREC,Jain Resource Recycling,2025-10-01,SYMBOL_MATCH
EPACKPEB,EPACK Prefab,2025-10-01,SYMBOL_MATCH
BMWVENTLTD,BMW Ventures,2025-10-01,SYMBOL_MATCH
STYL,Seshaasai Technologies,2025-09-30,SYMBOL_MATCH
ARSSBL,Anand Rathi Share,2025-09-30,SYMBOL_MATCH
SOLARWORLD,Solarworld Energy,2025-09-30,SYMBOL_MATCH
,Jaro Education,2025-09-30,UNMATCHED
ATLANTAELE,Atlanta Electricals,2025-09-29,SYMBOL_MATCH
GANESHCP,Ganesh Consumer,2025-09-29,SYMBOL_MATCH
SAATVIKGL,Saatvik Green Energy,2025-09-26,SYMBOL_MATCH
GKENERGY,GK Energy,2025-09-26,SYMBOL_MATCH
IVALUE,iValue Infosolutions,2025-09-25,SYMBOL_MATCH
VMSTMT,VMS TMT,2025-09-24,SYMBOL_MATCH
EUROPRATIK,Euro Pratik Sales,2025-09-23,SYMBOL_MATCH
URBANCO,Urban Company,2025-09-17,SYMBOL_MATCH
SHRINGARMS,Shringar House of Mangalsutra,2025-09-17,SYMBOL_MATCH
DEVX,Dev Accelerator,2025-09-17,SYMBOL_MATCH
AMANTA,Amanta Healthcare,2025-09-09,SYMBOL_MATCH
VIKRAN,Vikran Engineering,2025-09-03,SYMBOL_MATCH
AHCL,Anlon Healthcare,2025-09-03,SYMBOL_MATCH
MEIL,Mangal Electrical,2025-08-28,SYMBOL_MATCH
VIKRAMSOLR,Vikram Solar,2025-08-26,SYMBOL_MATCH
GEMAROMA,Gem Aromatics,2025-08-26,SYMBOL_MATCH
SHREEJISPG,Shreeji Shipping,2025-08-26,SYMBOL_MATCH
PATELRMART,Patel Retail,2025-08-26,SYMBOL_MATCH
REGAAL,Regaal Resources,2025-08-20,SYMBOL_MATCH
BLUESTONE,BlueStone Jewellery,2025-08-19,SYMBOL_MATCH
JSWCEMENT,JSW Cement,2025-08-14,SYMBOL_MATCH
ALLTIME,All Time Plastics,2025-08-14,SYMBOL_MATCH
HILINFRA,Highway Infrastructure,2025-08-12,SYMBOL_MATCH
,NSDL,2025-08-06,UNMATCHED
LOTUSDEV,Sri Lotus Developers,2025-08-06,SYMBOL_MATCH
MBEL,M&B Engineering,2025-08-06,SYMBOL_MATCH
CPPLUS,Aditya Infotech,2025-08-05,SYMBOL_MATCH
LAXMIINDIA,Laxmi India Finance,2025-08-05,SYMBOL_MATCH
SHANTIGOLD,Shanti Gold,2025-08-01,SYMBOL_MATCH
BRIGHOTEL,Brigade Hotel Ventures,2025-07-31,SYMBOL_MATCH
INDIQUBE,IndiQube Spaces,2025-07-30,SYMBOL_MATCH
EBGNG,GNG Electronics,2025-07-30,SYMBOL_MATCH
ANTHEM,Anthem Biosciences,2025-07-21,SYMBOL_MATCH
SMARTWORKS,Smartworks Coworking,2025-07-17,SYMBOL_MATCH
TRAVELFOOD,Travel Food Services,2025-07-14,SYMBOL_MATCH
CRIZAC,Crizac,2025-07-09,SYMBOL_MATCH
IGCL,Indogulf Cropsciences,2025-07-03,SYMBOL_MATCH
HDBFS,HDB Financial Services,2025-07-02,SYMBOL_MATCH
SAMBHV,Sambhv Steel Tubes,2025-07-02,SYMBOL_MATCH
KALPATARU,Kalpataru,2025-07-01,SYMBOL_MATCH
ELLEN,Ellenbarrie Industrial,2025-07-01,SYMBOL_MATCH
GLOBECIVIL,Globe Civil Projects,2025-07-01,SYMBOL_MATCH
ARIS,ArisInfra Solutions,2025-06-25,SYMBOL_MATCH
OSWALPUMPS,Oswal Pumps,2025-06-20,SYMBOL_MATCH
SCODATUBES,Scoda Tubes,2025-06-04,SYMBOL_MATCH
PROSTARM,Prostarm Info Systems,2025-06-03,SYMBOL_MATCH
,Schloss Bangalore,2025-06-02,UNMATCHED
AEGISVOPAK,Aegis Vopak Terminals,2025-06-02,SYMBOL_MATCH
BELRISE,Belrise Industries,2025-05-28,SYMBOL_MATCH
BORANA,Borana Weaves,2025-05-27,SYMBOL_MATCH
ATHERENERG,Ather Energy,2025-05-06,SYMBOL_MATCH
QPOWER,Quality Power Electrical,2025-02-24,SYMBOL_MATCH
HEXT,Hexaware Technologies,2025-02-19,SYMBOL_MATCH
AJAXENGG,Ajax Engineering,2025-02-17,SYMBOL_MATCH
AGARWALEYE,Dr. Agarwal’s Health,2025-02-04,SYMBOL_MATCH
DENTA,Denta Water and Infra,2025-01-29,SYMBOL_MATCH
STALLION,Stallion India,2025-01-23,SYMBOL_MATCH
LAXMIDENTL,Laxmi Dental,2025-01-20,SYMBOL_MATCH
QUADFUTURE,Quadrant Future Tek,2025-01-14,SYMBOL_MATCH
,Standard Glass Lining,2025-01-13,UNMATCHED
INDOFARM,Indo Farm Equipment,2025-01-07,SYMBOL_MATCH
BLEL,Behari Lal Engineering,2026-08-19,SYMBOL_MATCH
SHIPROCKET,Shiprocket,2026-08-19,SYMBOL_MATCH
DHOOTTRANS,Dhoot Transmission,2026-08-17,SYMBOL_MATCH
MOLBIO,Molbio Diagnostics,2026-08-17,SYMBOL_MATCH
TECHNOCRAF,Technocraft Ventures,2026-08-14,SYMBOL_MATCH
SBIFUNDS,SBI Funds Management,2026-07-21,SYMBOL_MATCH
ALPINETEX,Alpine Texworld,2026-07-21,SYMBOL_MATCH
CSM,CSM Technologies,2026-07-02,SYMBOL_MATCH
,Rambhajo Jewellery,2026-07-01,UNMATCHED
CORDELIA,Waterways Leisure Tourism,2026-07-01,SYMBOL_MATCH
CMRGREEN,CMR Green,2026-06-10,SYMBOL_MATCH
,Aeroplane Basmati,2026-04-02,COMPANY_MATCH
CMPDI,Central Mine Planning,2026-03-30,SYMBOL_MATCH
INNOVISION,Innovision,2026-03-23,SYMBOL_MATCH
CLEANMAX,Clean Max Enviro Energy,2026-03-02,SYMBOL_MATCH
BHARATCOAL,Bharat Coking Coal,2026-01-19,SYMBOL_MATCH
